unit,year,y_recyclingrate,treated
BOURNE,1997,.34999999,0
TRURO,1997,.25,0
EASTHAM,1997,.18000001,0
SANDWICH,1997,.38,0
YARMOUTH,1997,.20999999,0
PROVINCETOWN,1997,.19,0
HARWICH,1997,.50999999,0
FALMOUTH,1997,.43000001,0
EASTHAM,1998,.19,0
HARWICH,1998,.5,0
PROVINCETOWN,1998,.28999999,0
BOURNE,1998,.43000001,0
TRURO,1998,.23,0
YARMOUTH,1998,.34,0
FALMOUTH,1998,.37,0
SANDWICH,1998,.37,0
EASTHAM,1999,.19,0
BOURNE,1999,.43000001,0
HARWICH,1999,.55000001,0
FALMOUTH,1999,.40000001,0
PROVINCETOWN,1999,.28,0
SANDWICH,1999,.38,0
YARMOUTH,1999,.30000001,0
TRURO,1999,.25999999,0
BOURNE,2000,.44999999,0
PROVINCETOWN,2000,.23,0
HARWICH,2000,.57999998,0
EASTHAM,2000,.18000001,0
FALMOUTH,2000,.38,0
SANDWICH,2000,.25999999,0
TRURO,2000,.25999999,0
YARMOUTH,2000,.56999999,0
PROVINCETOWN,2001,.22,0
FALMOUTH,2001,.44999999,0
BOURNE,2001,.44,0
EASTHAM,2001,.27000001,0
HARWICH,2001,.44999999,0
SANDWICH,2001,.43000001,0
TRURO,2001,.34,0
YARMOUTH,2001,.58999997,0
FALMOUTH,2006,.41999999,0
TRURO,2006,.46000001,0
PROVINCETOWN,2006,.18000001,0
BOURNE,2006,.33000001,0
EASTHAM,2006,.31,0
SANDWICH,2006,.22,0
YARMOUTH,2006,.38999999,0
HARWICH,2006,.5,0
ALFORD,1997,.44999999,0
LEE,1997,.19,0
SHEFFIELD,1997,.33000001,0
WILLIAMSTOWN,1997,.57999998,0
PERU,1997,.38,0
CHESHIRE,1997,.31,0
BECKET,1997,.46000001,0
HANCOCK,1997,.31,0
EGREMONT,1997,.31,0
WINDSOR,1997,.41,0
SAVOY,1997,.12,0
HINSDALE,1997,.25999999,0
OTIS,1997,.30000001,0
LEE,1998,.47,0
BECKET,1998,.44999999,0
ALFORD,1998,.23999999,0
OTIS,1998,.34999999,0
HANCOCK,1998,.30000001,0
HINSDALE,1998,.2,0
WILLIAMSTOWN,1998,.63,0
PERU,1998,.38999999,0
EGREMONT,1998,.37,0
SHEFFIELD,1998,.41,0
CHESHIRE,1998,.28,0
WINDSOR,1998,.47999999,0
SAVOY,1998,.20999999,0
HINSDALE,1999,.19,0
WILLIAMSTOWN,1999,.63,0
BECKET,1999,.47,0
LEE,1999,.49000001,0
CHESHIRE,1999,.34,0
EGREMONT,1999,.38999999,0
PERU,1999,.25999999,0
SAVOY,1999,.28,0
WINDSOR,1999,.36000001,0
ALFORD,1999,.15000001,0
HANCOCK,1999,.52999997,0
SHEFFIELD,1999,.55000001,0
OTIS,1999,.34999999,0
CHESHIRE,2000,.37,0
EGREMONT,2000,.38999999,0
OTIS,2000,.20999999,0
ALFORD,2000,.36000001,0
SAVOY,2000,.41999999,0
HINSDALE,2000,.38,0
LEE,2000,.27000001,0
PERU,2000,.34,0
SHEFFIELD,2000,.31,0
WILLIAMSTOWN,2000,.58999997,0
WINDSOR,2000,.38999999,0
HANCOCK,2000,.34,0
BECKET,2000,.46000001,0
PERU,2001,.34999999,0
LEE,2001,.27000001,0
SHEFFIELD,2001,.28999999,0
HINSDALE,2001,.46000001,0
BECKET,2001,.44,0
CHESHIRE,2001,.47999999,0
EGREMONT,2001,.41,0
WINDSOR,2001,.43000001,0
WILLIAMSTOWN,2001,.47,0
SAVOY,2001,.47999999,0
HANCOCK,2001,.36000001,0
OTIS,2001,.25999999,0
ALFORD,2001,.14,0
CHESHIRE,2006,.37,0
LEE,2006,.25999999,0
SAVOY,2006,.38,0
WILLIAMSTOWN,2006,.47,0
EGREMONT,2006,.47999999,0
SHEFFIELD,2006,.34999999,0
ALFORD,2006,.28,0
BECKET,2006,.27000001,0
HANCOCK,2006,.31999999,0
HINSDALE,2006,.31,0
OTIS,2006,.28,0
WINDSOR,2006,.41999999,0
PERU,2006,.31999999,0
RAYNHAM,1997,.25,0
BERKLEY,1997,.34,0
ATTLEBORO,1997,.36000001,0
FAIRHAVEN,1997,.22,0
NORTH ATTLEBOROUGH,1997,.31999999,0
NEW BEDFORD,1997,.14,0
DARTMOUTH,1997,.23999999,0
WESTPORT,1997,.44999999,0
SOMERSET,1997,.49000001,0
SEEKONK,1997,.44,0
MANSFIELD,1997,.28999999,0
BERKLEY,1998,.38999999,0
FAIRHAVEN,1998,.19,0
ATTLEBORO,1998,.33000001,0
RAYNHAM,1998,.2,0
MANSFIELD,1998,.28,0
NEW BEDFORD,1998,.12,0
NORTH ATTLEBOROUGH,1998,.28,0
SOMERSET,1998,.49000001,0
WESTPORT,1998,.38999999,0
SEEKONK,1998,.44999999,0
DARTMOUTH,1998,.28,0
DARTMOUTH,1999,.31999999,0
SOMERSET,1999,.41,0
MANSFIELD,1999,.33000001,0
BERKLEY,1999,.57999998,0
WESTPORT,1999,.44999999,0
NEW BEDFORD,1999,.1,0
SEEKONK,1999,.44,0
NORTH ATTLEBOROUGH,1999,.55000001,0
RAYNHAM,1999,.25,0
ATTLEBORO,1999,.30000001,0
FAIRHAVEN,1999,.25999999,0
ATTLEBORO,2000,.25999999,0
BERKLEY,2000,.50999999,0
WESTPORT,2000,.41,0
FAIRHAVEN,2000,.38,0
